CÓDIGO DANE,DEPARTAMENTO,MUNICIPIO,CENTRO POBLADO,NATURALEZA DE LA BIBLIOTECA,TIPO DE BIBLIOTECA,NOMBRE DE LA BIBLIOTECA,DIRECCIÓN DE LA BIBLIOTECA,BARRIO,TELÉFONOS DE CONTACTO,EXTENSIÓN,FAX,PÁGINA WEB DE LABIBLIOTECA,ESTADO DE LA BIBLIOTECA,GEOREFERENCIA
76823000,VALLE DEL CAUCA,TORO,TORO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE TORO WELDEFORDIS MORENO DIAZ,CARRERA 3 N° 12-46 (CASA DE LA CULTURA),LA TRONCADA,2210578/3162533074/2210974,0,2210979,,ABIERTA,"(4.6105200°,-76.0767000°)"
76828000,VALLE DEL CAUCA,TRUJILLO,TRUJILLO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE TRUJILLO-VALLE LEOCADIO SALAZAR,CALLE 20 N° 24-272,LAS COLINAS,2267660/3217241596/,,,,ABIERTA,"(4.2085479°,-76.3195401°)"
76834016,VALLE DEL CAUCA,TULUA,NARIÑO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL  GERMAN CARDONA CRUZ,CALLEJON EL LIMAR CONTIGUO A LA INSTITUCION EDUCATIVA JOVITA SANTA COLOMA,NARIÑO,3128262174/2243560 // Director Tic: 3173672424//3167096374/,,,,ABIERTA,"(4.0949800°,-76.2377300°)"
76834000,VALLE DEL CAUCA,TULUA,TULUÁ,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL FRANCISCO GALVEZ OSORIO,Carrera 12 entre Calle 20 y 19C Bis - Centro Cultural Casa Popular Anuar Cabrera,Ruben Cruz Velez,"// Director Tic: 3173672424//3235829222
/",,,,ABIERTA,"(4.0902368°,-76.2038728°)"
76834000,VALLE DEL CAUCA,TULUA,TULUÁ,ESTATAL,MUNICIPAL,"BIBLIOTECA PÚBLICA MUNICIPAL DE TULUÁ ""DANIEL POTES LOZANO""",CARRERA 27 CON CALLE 27 PARQUE CÉSPEDES,CENTRO,2259147/3122734931/2259147,,2258226,www.tulua.gov.co,ABIERTA,"(4.0856791°,-76.1959059°)"
76834000,VALLE DEL CAUCA,TULUA,TULUÁ,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL ESCOLÁSTICO ESCOBAR LOZANO,Calle 25 con carrera 3 Esquina -Centro Cultural Ramiro Aranda Marmolejo,SAN PEDRO CLAVER,"Tic: 3173672424/3216131318
/",,,,ABIERTA,"(4.0888900°,-76.2039400°)"
76845000,VALLE DEL CAUCA,ULLOA,ULLOA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL JOSE ELEUTERIO ULLOA,CARRERA 3a CALLE 4a Esquina,PARQUE CENTRAL,3206180070/3215592575/3122887938,,,,ABIERTA,"(4.7059000°,-75.7402400°)"
76863000,VALLE DEL CAUCA,VERSALLES,VERSALLES,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL VERSALLES,CALLE 5 N° 4-45,GUAYABITO,0/3128591639/0,,,,ABIERTA,"(4.5758500°,-76.1967300°)"
76869000,VALLE DEL CAUCA,VIJES,VIJES,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE VIJES LEÓN HENRY COLONIA CARDONA,Calle 5 entre Carrera 2 y 3,BARRIO KENNEDY,2520435/3148337014/,,,,ABIERTA,"(3.6991891°,-76.4391105°)"
76890000,VALLE DEL CAUCA,YOTOCO,YOTOCO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL ALEJANDRO ARCE ROJAS ,CARRERA 5 CON CALLE 6 (CASA DE LA CULTURA),SANTA BÁRBARA,252 41 28 /3154802705/2524128,,,,ABIERTA,"(3.8602800°,-76.3846800°)"
76895000,VALLE DEL CAUCA,ZARZAL,ZARZAL,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL LISANDRO GONZALEZ LLANOS,Cra11 Cll 17a Esquina,Las Mercedes,3116164949 3117963236/3116164949/,,,,ABIERTA,"(4.3986715°,-76.0671148°)"
97001000,VAUPES,MITU,MITÚ,ESTATAL,DEPARTAMENTAL,BIBLIOTECA PÚBLICA DEPARTAMENTAL JOSE EUSTASIO RIVERA,AVENIDA 15 C N° 15 - 38 PARQUE SANTANDER,MITÚ CENTRO,098 5642149/0985642151/3103493487/,,,,ABIERTA,"(1.2577734°,-70.2336626°)"
97666000,VAUPES,TARAIRA,TARAIRA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA DE TARAIRA,CARRERA 7- 4 - 69,ESPAÑA,3103238216/3146212973/,,,,ABIERTA,"(-0.7072245°,-69.8597406°)"
99773000,VICHADA,CUMARIBO,CUMARIBO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL LA CACICA MARIA,Calle 8a # 13 - 37,NICOLINO MATTA,3125414088/3203723426/314209260/32024278540/3203723426/,,,,ABIERTA,"(4.4729757°,-69.8094321°)"
99524001,VICHADA,LA PRIMAVERA,NUEVA ANTIOQUIA,ESTATAL,RURAL,BIBLIOTECA PÚBLICA DEL CORREGIMIENTO DE NUEVA ANTIOQUIA,CORREGIMIENTO NUEVA ANTIOQUIA,Víctor Samuel Andrade de Nueva Antioquia,"3132715449/
3204812034//",,,,ABIERTA,"(6.0947500°,-69.3918800°)"
99624000,VICHADA,SANTA ROSALIA,SANTA ROSALÍA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL YOLANDA PEREZ REQUINIVA,BARRIO PUEBLO NUEVO (CERCA AL HOSPITAL Y FRENTE AL AEROPUERTO),PUEBLO NUEVO,3144714447/3108717410/3118913584/57 8 5 60 01 42/321 6746431/,,,,ABIERTA,"(5.1261100°,-70.8758000°)"
5051000,ANTIOQUIA,ARBOLETES,ARBOLETES,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA ALBERTO JARAMILLO SANCHEZ,CALLE 30 N° 31-47,EL PRADO,/3105466898/,,,,ABIERTA,"(8.8516582°,-76.4267082°)"
5088000,ANTIOQUIA,BELLO,BELLO,ESTATAL,MUNICIPAL,BIBLIOTECA COMUNAL ESTACIÓN PRIMERA,"AVENIDA 34D NO 42G-55
",,/3012559925/,,,,ABIERTA,"(6.3309203°,-75.5388037°)"
19573000,CAUCA,PUERTO TEJADA,PUERTO TEJADA,ESTATAL,MUNICIPAL,"AURA ABONIA ""LA POLA"""," CARRERA 7 NUMERO  18 B 09 
",CARLOS ALBERTO GUZMAN,/3105033269/,,,,ABIERTA,"(3.2326504°,-76.4100712°)"
41551008,HUILA,PITALITO,CRIOLLO,ESTATAL,RESGUARDO INDÍGENA,"BIBLIOTECA ""KILKAKATINA UKU""",Vía Pitalito-san Agustín Corregimiento de Criollo Resguardo Indígena Rumiyaco ,Criollo,3124284589/3228748021/,,,www.pitalito-huila.gov.co,ABIERTA,"(1.8667300°,-76.1333600°)"
15109000,BOYACA,BUENAVISTA,BUENAVISTA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE BUENAVISTA,CARRERA 3 -5 34,CENTRO,3219289360/3127979970/,,,,ABIERTA,"(5.5120010°,-73.9426230°)"
5893000,ANTIOQUIA,YONDÓ,CASABE,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL MARIA CANO,CALLE  50 # 53-13 ,BARRIO CENTRAL,8328185/3115509234  /8325185,,8325109,,ABIERTA,"(7.0078860°,-73.9071860°)"
76834000,VALLE DEL CAUCA,TULUA,TULUÁ,ESTATAL,MUNICIPAL,BIBLIOTECA RAFAEL VICTORIA ROJAS,CARRERA 22 CON TRANSVERSAL 12,MUNICIPAL,/3226725625/,,,,ABIERTA,"(4.0971508°,-76.2011427°)"
81591000,ARAUCA,PUERTO RONDON,PUERTO RONDÓN,ESTATAL,MUNICIPAL,"BIBLIOTECA PÚBLICA MUNICIPAL  DE PUERTO RONDON, ARAUCA",CALLE 3 CON CARRERA 7A - VIA AEROPUERTO,CENTRO,3123470766/3115859785 /,,,,ABIERTA,"(6.2784114°,-71.0997787°)"
